id,ground_truth,predicted,rouge-1,rouge-2,rouge-l
24sample_data,"Market gurus look to gold and commodities as places to put money.  Some are shorting European banks, too.","Stock markets are deflationary and most negative conditions in many European countries are driven by a real need to cut budget deficits and reduce debt.  The sharp decline in consumer confidence and housing in the US begins with poor employment numbers and plagues domestic equity expectations and dramatically reduces the yield on 10-year Treasury notes. Christopher Woods, emerging market expert at CLSA Securities, Stephen Lieb of Lieb's Market Forecast, Robert Smith of Smith Affiliated Capital and US Mutual Fund Group ""Where is the critical ability to build alternative energy for copper, oil, indium, silver, rare earths and many other minerals and metals? China gets it in spades and we don't get a clue."" In light of the desperate cloud over deep water drilling for crude oil, Lieb likes natural gas inventory, which should benefit from rising natural gas prices, an increase of just 17% over the past month. Their options are: Gazprom, which owns 20% of the world's natural gas reserves and CNOCOC (CEO - News - People) Limited, China's largest oil and gas giant.  Lieb's preferred way to play the long-term bullish trend in metals is the PowerShares DB Base Metals Fund (DBB - News - People), which tracks the prices of copper, zinc and aluminum, metals, for heavy infrastructure, including alternatives to China, US Lieb for two years. Whether the DBB rises from $ 18 to $ 40 May be, it is more than two times. ",0.05208333171929258,0.0,0.028814634859177225
26sample_data,"CLASSICAL ALICE TULLY. Lincoln Center, 65th St. & Broadway (212-721-6500). Sun. at 5, the Chamber Music Society playing Schubert's ""Trout""quintet. $38.50-$45. AVERY FISHER. Lincoln Center, 65th St. & Columbus (212-721-6500). Thru tomorrow at 8, N.Y. Philharmonic, with Alicia de Larrocha; $37-$114. Tomorrow at 11 a.m. and 1 p.m., ""Babes in Toyland""with Little Orchestra Society; $10-$35. CARNEGIE HALL. 881 Seventh Ave. (212-247-7800). Isaac Stern Auditorium: Tonight at 8, Toshiko Akiyoshi Jazz Orchestra; $20-$40. Tomorrow at 8,","Tonight 8, ""La Traviata."" Tomorrow at 1:30 pm ""La Boheme."" Tomorrow at 8 p.m., ""The Marriage of Figaro""; All shows are $ 32- $ 205. Tonight 8, ""The Magic Flute."" Tomorrow at 1:30 p.m., ""rats and men."" Tomorrow at 8, ""The Mikado."" The sun. Marquis, Broadway and 46th St. (212-307-4100).  Central Park and 79th St. (212-769-5200). Central Park, East Meadow, 59th St. and Fifth Avenue. This author of ""The New York Trilogy"" joins from his latest book ""The Book of Illusions"", a Vermont professor who loses his wife and son in a car accident, and an eerily silent film that catches his attention. ",0.16666666170138905,0.04624276970697368,0.16439909296988625
15sample_data,"T he Goldsteins' 3.5-carat ring landing in the dump this week is hardly an isolated tale of finding a diamond in the rubbish. ""Oh, I've found jewelry,""says Raymond Doyle Jr., a sanitation worker for District 6 on Long Island. ""Louise [his wife] has a gold bracelet encrusted with rubies all around it. I couldn't even guess how much it's worth.""As the old saying goes, one man's trash is another man's treasure. Who","Amidst New York's mighty job of freezing and freezing temperatures and cracking glass, rodents and sized rodents to eliminate the rejection of 8 million residents - the task is to pick up trash before them.  Doyle, 45, says, ""You have to catch a nose for it."" He credits some of the most amazing discoveries in his 28 years, including the first version of Steinbeck's ""Canary Row"" and the 1950's Erector Set. ""I work in a lot of RTG areas and they put everything out - kitchen sink, washer and dryer - something that works!"" His biggest score is a box of comic books that are still wrapped in plastic. I know more about some people than their loved ones - without nodding, not looking down. ”This is not to say that taxpayers should fear that sanitation workers are digging through their trash. ""If they find out that they dumped it before we go to the dump, we throw the truck in a separate area,"" Doyle explains. ""We separate it, and most of the time we find their rent money, mortgage money, jewelry, birth certificates,"" he says. ",0.12060301057650076,0.0,0.09351525820390102
49sample_data,"Precious star also says she was 'humiliated' by appearance in the film, despite rave reviews."," The film (and Carrie's performance on screen and on the soundtrack) was slammed by almost all critics and labeled as the worst of all time, eventually prompting the pop princess to be hospitalized amid an emotional breakdown. ""I didn't realize that you really have to be selective with the people you work with and you have to have that support system and you have to work with the people you think are the talents."" Speaking of talent, Carey’s physical transformation into a run-of-the-mill, disgusting New York social worker for Flick. And coming from Pop Diva, who imposes terrible rules on her shooting (in a recent case of pop tarts, Carrie refused to shoot down from the waist down and had her own photography director to make sure the light and frame size were exactly what she wanted), which was quite a personal challenge. It's Maria! ”And hey, at least Ms Carey was brave enough to admit that she needed a break from fame and glamor and go back to earth and look a little“ normal ”. ",0.05714285522959191,0.0,0.032404804497703416
43sample_data,JPMorgan Chase  has agreed to pay $110 million to settle consumer litigation accusing it of charging excessive overdraft fees.,"The bank has joined (BAC.N) and several small lenders settle their portion of a nationwide lawsuit over fees, which are usually assessed when customers overdraw their checking accounts.  In September 2009, JPMorgan said it would no longer post debit card transactions and ATM withdrawals, and end debit card overdrafts unless customers asked.  Banks are prohibited from charging overdraft fees on electronic and debit card transactions without prior customer approval.  In August 2009, Lopez said he had incurred over 204 overdraft fees for seven debit card purchases, but only $ 34 if the bank posted its transactions from low to high.  Luquetta alleged that the bank posted 7 1,725 ​​automatic bill payments five days early in August 2009, resulting in a 1 231 overdraft fee on seven debit card purchases. ",0.15652173648998113,0.01449275135475776,0.0847725379827181
8sample_data,"Did Tatum O'Neal's latest battle with ex-husband John McEnroe put her back on drugs? The ""Paper Moon""star checked herself into L.A.'s Promises rehab facility after a friend caught her smoking crack, according to The National Enquirer. O'Neal emerged clean and sober from Promises' 34-day recovery program in late July, the tab reports. The actress is said to have plunged into her old habits because of","George Rush and Joanna Mollo with Keshia Anderson and Suzanne Rozdeba Thursday, August 8, 2002, 7:06 AM Did Tatum O’Neill’s recent battle with ex-husband John McEnroe get her back on drugs? According to The National Enquirer, the ""Paper Moon"" star has called herself L.A. after a friend caught her smoking crack. Angered and hurt, O'Neill launched a media counteroffensive, in which McEnroe accused him of being ""a cruel, cruel person"" and ""sexual and physical abuse.""  A spokesman for G + J did not mention Thielen O'Donnell, but ""reaffirmed the support and confidence in Dan Brewster and his management team."" One of O'Donnell's reps only says ""very proud of Rosie's magazine and what it signifies.""  Gallery owner Paul Judelson recently received his star artist, Sergei Bugev, professionally known as Africa - a startling clip from Russian intelligence sources - and plans to work on it for the November exhibition. In a lawsuit now filed in Los Angeles Superior Court, Osborn's contract with Monvoice, Threshold, claims that the Osbournes agreement with MTV violates the intellectual-property rights threshold rocker's ""name, likeness, image, identity, proprietorship"" Got it Ndu the complaint alleges. On Tuesday, President Bush's niece Escada dropped out of the showroom, where she was outfitted with two complimentary strapless numbers - one pink, one black and one white. ",0.2343096196292082,0.1122806981953833,0.16897649850396074
9sample_data,"COOL COCKTAIL A summer drink you'll cotton to S ummer is shaping up as extra sweet at Cafe Centro, where the menu Â­features treats like s'mores, chocolate fondue and a unique cocktail called the Cotton Candy Cosmo. The drink was created by mixologist Bill Â­Rogers, whose inspiration was the fluffy confection that the restaurant (in Rockefeller Center) occasionally serves to customers. Priced at $9, the deeply colorful libation is topped with billows of bright pink","Wednesday, May 18, 2005, 9:59 AM Summer is shaping up to be an extra dessert at Cafe Centro, where the menu-features s'mores, chocolate fondue and cotton candy cosmo, a unique cocktail. The drink was created by mycologist Bill og Rogers, whose inspiration is the fluffy confectionery that serves customers at the restaurant (at Rockefeller Center).  Stir vodka, triple sec, lemon juice and cranberry juice in a shaker with pink cotton candy ice to the top of 2 ounces Absolut Citron Vodka.  Garnish with pink cotton candy around the rim and serve .. ",0.5106382928927117,0.23602483975309604,0.4643169794079081
40sample_data,The President and First Lady differ on their must-sees of 2011," In their only print interview for the holiday, President Obama and the First Lady say they will not allow daughters Sasha and Malia on Facebook.  His theory is, ""Why do we want to have a group of people we don't know who don't know our business? It doesn't make much sense."" But when the first lady points out that Malia is only 13 and Sasha 10, the president laughs and says, ""We'll see how they feel in four years.""  ""For girls, and for me, that's our favorite show,"" says the president, who lists them as ""a little girly"" in their TV practices, except for sports that he must watch.  And don't think anyone's private residence in the most powerful man in the world comes with all the latest gadgets and gizmos, says President Obama. ",0.12173912870472592,0.013986012685217004,0.06798023432875963
25sample_data,"Just when many had pronounced their relationship dead, Jennifer Lopez and Ben Affleck set off fresh wedding rumors yesterday by showing up at a courthouse in Georgia. Local speculation was that the couple, who called off their Santa Barbara nuptials a week before, came to the Liberty County court building (near Savannah on the Georgia coast) for a marriage license. Not so, says Sheriff Don Martin, whose office","Suzanne Rozdeba, Jo Alexander and Spencer Morgan on Tuesday, September 23, 2003, 7:27 AM When many announced their relationship was dead, Jennifer Lopez and Ben Affleck put out a new wedding rumor yesterday in a Georgia court.  ""Ben came with Jennifer to thank the Sheriff's Department and let him know how happy he was to help protect and secure his property over the weekend,"" Martin told us.  Asked about Gibson's epic ""The Passion"" about Christ, Crowe told a Chicago radio interviewer: ""I heard about it. A fair Dinkum [Aussie for 'real'], he spent 25 million on shooting in Aramaic and Latin, and he Intended to release it without subtitles, I'm sure he should be off the glue I think. ""I'm not sure if it's a good government or not, but I'll definitely take that into consideration."" Paris and Nicky Hilton quickly exited the Vegas premiere of Cirque du Soleil's ""Jumanity.""  The two quickly departed and were clearly absent at the multi-million dollar after-party, where the performers who jackstopped on stilts were ogled by Darryl Hannah, Orlando Bloom, Jennifer Love Hewitt and designers Roberto Cavalli and Richie Rich. ""Jason Biggs, who starred in Woody Allen's"" Anything Else, ""seems to be recovering from Sean William Scott's make-up scene in"" American Wedding. "" ",0.2241379271585167,0.04316546396744506,0.13242329724980395
1sample_data,"The volume of information harvested, without 
court warrants, is much larger than the White 
House has acknowledged.","WASHINGTON, Dec. 23 - The National Security Agency has tracked and analyzed large amounts of telephone and Internet communications flowing in and out of the United States as part of an eavesdropping program approved by President Bush after September 11, 2001.  The government's collection and analysis of phone and internet traffic has raised questions among some law enforcement and programmed judicial authorities. Since the NSA's domestic surveillance program was unveiled last week, President Bush and his senior aides have issued executive orders to monitor international phone and e-mail communications, since the NSA's domestic surveillance program was unveiled last week. Have emphasized that it is limited. It remains unknown, and members of Congress who demanded a full congressional hearing say they are excited to learn more about the program's operational details and its legality. I have tried to analyze communication patterns to get clues from details such as who is calling, how long the phone call lasts and what time of day it is made and the origin and destination of phone calls and e-mail messages. ",0.06944444236207568,0.0,0.039979623005992844
34sample_data,"Her bling-bling is missing. Rapper Lil' Kim, who thinks big when it comes to jewelry, said someone swiped $250,000 worth of her baubles at Kennedy Airport this weekend. Two of her signature pieces - a white-and-yellow diamond-encrusted gold necklace with a crowned ""B""and platinum dog tags filled with yellow diamonds - were snatched from her luggage Friday, the Daily News has learned. ""She was extremely","By Alice McQuillan Daily News Staff Writer Monday, June 23, 2003, 7:04 AM Rapper Lil Kim, who thinks big on jewelry, said someone swiped $ 250,000 worth of bubbles at Kennedy Airport this weekend.  The Daily News learned that her two signature pieces - a white and yellow diamond-encrusted gold necklace, crowned ""B"" and platinum dog tags filled with yellow diamonds - were stolen from her warehouse on Friday.  ""Lil Kim is known for her fabulous and unique custom-made jewelry and stole two of her collection's irreplaceable pieces,"" she said.  Sachs said she was sure she had packed the missing items but her Englewood, N.J., mansion was somehow inspected. ",0.5263157847238574,0.30057803005112105,0.4685086002671097
42sample_data,"American companies are more agressively pursuing specialized visas to bring highly skilled foreign workers into this country, a possible sign of an improving labor market. The annual federal quota of 85,000 H-1B visa applications was filled by late November, two months earlier than in 2010 - although not nearly as quickly as in years before the recession. “It indicates an improved economy, but not like boom times,’’ said Bruce Morrison, a former chairman of the US House Immigration Subcommittee.."," H-1B visas have been used to bring in a variety of professionals, such as chefs and fashion models, but according to a January study by the Government Accountability Office, 50 percent of visas go to ""STEM workers"" - trained in science, technology, engineering and math. Traders say the program will help supplement a labor pool that includes very few engineers and scientists, but technology workers say companies hire foreign workers to avoid US wages.  The GAO study found that between June 2009 and July 2010, 54 percent of visa recipients were classified as ""entry-level"" technical workers and paid less than experienced Americans with similar skills.  ""Obviously, many employers use it for low-cost foreign workers,"" said Ron Hira, associate professor of public policy at the Rochester Institute of Technology and long-time H-1B critic.  They prefer to use permanent US residency visas, commonly known as green cards, which allow tenants to obtain full citizenship within five years, and, they say, reduce the risk of workers being abused as cheap labor and then sent home.  ""I am concerned about the impact of this bill on future immigration flows,"" Grassley said in a statement issued by his office, ""and I hope that this does nothing to better protect Americans at home who want more skilled jobs at this time. ",0.19574467663413322,0.013745700543452423,0.12724291260638607
46sample_data,"WASHINGTON - China’s next leader, Xi Jinping, may never have heard of American Superconductor Corp. before he arrived here Monday, but by the end of his visit U.S. officials hope to make the small Massachusetts wind-energy company an object lesson in the impact of Chinese trade secret theft on U.S. business. Sen. John Kerry, D-Mass., chairman of the Senate Foreign Relations Committee, plans to raise personally with Xi the case of a company that saw 70 percent of its business evaporate last year after a Chinese partner enticed one of its employees to steal the crown jewel of its technology.","WASHINGTON - China's next leader, Xi Jinping, had not heard of American Superconductor Corp before coming here on Monday, but by the end of his visit, small officials were hoping to make Massachusetts's wind-energy company an influence lesson in Chinese trade secrets on US business.  Massachusetts Democrat and Senate Foreign Committee Chairman Senator John Kerry plans to personally raise the case of Xi, who saw 70 percent of his business evaporate last year after a Chinese partner prompted one of his employees to steal the crown. President Obama and Vice President Biden yesterday warned Xi that they are hearing more and more from US businesses about theft of intellectual property and trade secrets, but they are not specifically referring to the American superconductor, known as AMSC. However, Xi's briefing papers issued before his arrival in Washington included the background of the company's experience, and said the Chinese were aware of American frustration over the case.  Company officials say hundreds of e-mails and messages between senior Sinowell staff and Karabacevic from the company detailing the company's stolen property, money laundering, and actual transfer of software. ",0.511848336524337,0.2888086596666189,0.4353519503516877
23sample_data,Research contradicts idea that seniors need to cling to their homes.,"In one, they rebuild their homes with bars and wheelchair-accessible bathrooms and ""age in place"" while maintaining long-term community, church and family relationships. In another, they say goodbye to friends and winter and slowly head to Florida or Sun City for a life of golf and bridge games. Older Americans who are displaced are a little happier and richer, but most of their moves are short-range measures - some made as part of a retirement plan, and some in response to trauma, widowed or widowed, the study found.  In their report, Haverstick and her co-authors used data from the National Health and Retirement Study at the University of Michigan to examine the practice of people born between 1931 and 1941. Of the shippers, 28% relocated for family reasons (to look after a child or an older relative, for example); 22% displaced due to economic pressure; 21% moved to upgrade to a better home and / or place; And 16% moved to traditional retirement reasons. ",0.047244093037386116,0.011560692552374054,0.025812220417443493
31sample_data,"Trying to get the staff at WBAI to agree on a single course of action would be like getting France to agree on one kind of cheese. But Bernard White, WBAI's new program director, says that despite recent tensions at 'BAI and parent Pacifica over staff and programming, a higher goal can't and won't be forgotten. ""WBAI,""says White, ""is one of the few voices trying to bring"," But WBAI's new program director, Bernard White, says that despite recent tensions in staffing and programming at BAI and Parent Pacifica, the greater goal remains and cannot be forgotten.  But White says he has strong opinions on issues such as police brutality and corporate greed and will continue to provide platforms for WBAI demonstrations, community groups, radical thinkers, prisoners, anti-corporate activists and alternatives from nutrition to politics. They want to get better technology and avoid other distractions so that staff can ""do an efficient job of doing it."" It sometimes means ""just relax and have fun,"" he says. I have worked closely with many of those issues with Samori and I think most people support me. ",0.3087248277122653,0.11049723299777194,0.23868014225482023
